order_id,customer_id,order_date,product_category,product_name,price,quantity,total_amount,payment_method,city,delivery_days,rating,month,month_name
1000,C960,2024-01-15,Clothing,Jacket,56622,4,226488,COD,Mumbai,8.0,5,1,January
1001,C221,2024-03-23,Clothing,T-shirt,11484,3,34452,Card,Pune,7.0,3,3,March
1002,C472,2024-01-24,Electronics,Headphones,22162,4,88648,Unknown,Mumbai,3.0,5,1,January
1003,C591,2024-01-30,Furniture,Sofa,969,4,3876,UPI,Delhi,6.0,2,1,January
1004,C376,2024-02-02,Electronics,Speaker,5511,4,22044,Card,Delhi,6.0,5,2,February
1005,C574,2024-02-28,Electronics,Tablet,27680,1,27680,UPI,Delhi,3.0,4,2,February
1006,C931,2024-01-03,Electronics,Speaker,57086,4,228344,Card,Delhi,5.0,3,1,January
1007,C940,2024-02-08,Furniture,Sofa,41806,1,41806,Card,Bangalore,2.0,4,2,February
1008,C113,2024-01-09,Groceries,Sugar,8992,4,35968,COD,Chennai,5.0,2,1,January
1009,C466,2024-02-29,Furniture,Table,58907,4,235628,Card,Pune,7.0,4,2,February
1010,C134,2024-03-18,Groceries,Unknown,17359,3,52077,UPI,Pune,1.0,4,3,March
1011,C487,2024-01-02,Furniture,Chair,1785,4,7140,COD,Delhi,6.0,2,1,January
1012,C576,2024-03-03,Clothing,Shirt,265975,2,106390,COD,Bangalore,2.0,2,3,March
1013,C301,2024-03-02,Groceries,Sugar,5875,2,11750,UPI,Pune,4.0,4,3,March
1014,C395,2024-03-25,Electronics,Headphones,1216,2,2432,Card,Bangalore,2.0,5,3,March
1015,C316,2024-02-29,Clothing,Jeans,21471,2,42942,COD,Pune,9.0,5,2,February
1016,C164,2024-03-29,Furniture,Bed,51414,1,51414,Card,Bangalore,7.0,1,3,March
1017,C747,2024-03-28,Clothing,Jeans,54815,1,54815,UPI,Pune,3.0,1,3,March
1018,C518,2024-02-02,Clothing,T-shirt,33359,3,100077,COD,Mumbai,5.0,2,2,February
1019,C140,2024-01-28,Groceries,Oil,27054,2,54108,Card,Bangalore,7.0,1,1,January
1020,C132,2024-02-17,Clothing,Shirt,30735,4,122940,Card,Delhi,7.0,5,2,February
1021,C971,2024-03-26,Furniture,Bed,31018,4,124072,Unknown,Pune,3.0,1,3,March
1022,C561,2024-01-03,Electronics,Laptop,32682,1,32682,Card,Mumbai,1.0,5,1,January
1023,C866,2024-01-14,Groceries,Oil,56737,3,170211,Card,Pune,7.0,3,1,January
1024,C114,2024-03-30,Clothing,Shorts,53840,3,161520,COD,Bangalore,3.0,1,3,March
1025,C195,2024-01-04,Clothing,Shorts,41723,1,41723,Card,Bangalore,5.0,5,1,January
1026,C640,2024-02-05,Groceries,Sugar,1878,3,5634,UPI,Delhi,7.0,3,2,February
1027,C895,2024-03-06,Electronics,Laptop,28090,2,56180,Card,Bangalore,9.0,5,3,March
1028,C127,2024-02-13,Electronics,Tablet,2893,4,11572,Card,Pune,4.0,3,2,February
1029,C447,2024-03-29,Furniture,Table,18247,2,36494,UPI,Chennai,7.0,1,3,March
1030,C382,2024-03-02,Furniture,Table,30280,1,30280,UPI,Chennai,9.0,4,3,March
1031,C458,2024-03-10,Furniture,Chair,55216,3,165648,COD,Delhi,8.0,3,3,March
1032,C776,2024-02-20,Groceries,Wheat,29520,2,59040,COD,Delhi,8.0,3,2,February
1033,C707,2024-03-28,Furniture,Table,28221,4,112884,COD,Delhi,9.0,4,3,March
1034,C596,2024-02-27,Clothing,Jeans,54584,2,109168,Card,Delhi,4.0,4,2,February
1035,C485,2024-01-03,Groceries,Wheat,52933,3,158799,Card,Chennai,1.0,5,1,January
1036,C180,2024-02-28,Furniture,Bed,20280,4,81120,Card,Mumbai,5.0,2,2,February
1037,C665,2024-03-27,Furniture,Sofa,37705,4,150820,Card,Bangalore,5.0,1,3,March
1038,C737,2024-01-02,Furniture,Table,55880,3,167640,Card,Bangalore,5.0,4,1,January
1039,C515,2024-03-08,Groceries,Wheat,38759,2,77518,COD,Bangalore,7.0,3,3,March
1040,C500,2024-02-07,Clothing,Jeans,44415,3,133245,Card,Delhi,8.0,5,2,February
1041,C297,2024-03-26,Clothing,Shirt,52283,2,104566,Card,Mumbai,1.0,1,3,March
1042,C425,2024-03-20,Electronics,Tablet,42307,3,126921,Unknown,Mumbai,3.0,4,3,March
1043,C502,2024-03-30,Clothing,Shirt,3011,3,9033,Card,Bangalore,3.0,3,3,March
1044,C810,2024-02-21,Furniture,Sofa,11611,4,46444,Unknown,Pune,9.0,1,2,February
1045,C650,2024-03-22,Clothing,Jacket,18543,4,74172,COD,Delhi,8.0,1,3,March
1046,C572,2024-02-19,Electronics,Speaker,2002,4,8008,COD,Pune,7.0,2,2,February
1047,C863,2024-01-16,Groceries,Rice,30506,3,91518,COD,Bangalore,9.0,4,1,January
1048,C101,2024-01-01,Groceries,Rice,12035,1,12035,COD,Bangalore,5.0,5,1,January
1049,C108,2024-01-19,Electronics,Headphones,30055,3,90165,UPI,Delhi,3.0,4,1,January
1050,C219,2024-02-02,Electronics,Headphones,6495,2,12990,COD,Delhi,8.0,4,2,February
1051,C519,2024-02-07,Electronics,Laptop,13074,1,13074,Card,Delhi,8.0,4,2,February
1052,C211,2024-03-29,Clothing,Shorts,57797,3,173391,COD,Delhi,3.0,1,3,March
