Transaction_ID,Customer_ID,Date,Category,Price,Quantity,Discount,Region,Payment_Method
TXN-1000,754,2023-01-13,Clothing,144.76,1,0.1,North,Credit Card
TXN-1000,754,2023-01-13,Clothing,144.76,1,0.1,North,Credit Card
TXN-1001,,2023-01-17, Electronics ,55.91,1,0.0,west ,PayPal
TXN-1002,,2023-04-23,Sports,298.74,10,0.0,South,
TXN-1003,,2023-03-21,clothing,479.03,2,0.0,North,
TXN-1004,,2023-06-26,electronics,139.62,-1,,west ,Credit Card
TXN-1005,487,2023-10-10,HOME ,416.41,4,0.2,west ,PayPal
TXN-1006,821,2023-01-24,Clothing,121.67,2,0.0,South,Credit Card
TXN-1007,,2023-08-21,Clothing,418.71,1,0.2,East,PayPal
TXN-1008,,2023-12-26,Clothing,327.54,4,0.1,west ,PayPal
TXN-1009,,2023-07-14,HOME ,494.87,5,0.1,East,Credit Card
TXN-1010,334,2023-06-11,Sports,141.19,1,0.2,South,
TXN-1011,,2023-03-15,HOME ,78.42,5,0.2,west ,
TXN-1012,,2023-07-05,clothing,498.69,1,,North,Credit Card
TXN-1013,981,2023-03-20,Clothing,88.39,5,,west ,Credit Card
TXN-1014,,2023-11-02,Sports,269.27,4,0.0,North,Cash
TXN-1015,,2023-02-27,HOME ,223.03,3,0.0,East,PayPal
TXN-1016,619,2023-11-17,HOME ,422.42,4,0.1,South,Cash
TXN-1017,880,2023-10-04,electronics,460.06,4,0.2,West,Credit Card
TXN-1018,,2023-06-07,clothing,38.38,4,0.0,North,
TXN-1019,935,2023-09-30,clothing,72.91,3,0.1,East,
TXN-1020,316,2023-06-09,Sports,497.62,5,0.2,West,
TXN-1021,223,2023-04-26, Electronics ,175.66,4,0.1,west ,PayPal
TXN-1022,107,2023-12-29,Clothing,38.85,-1,0.0,East,Credit Card
TXN-1023,626,2023-05-23,Clothing,247.85,4,0.1,west ,
TXN-1024,,2023-07-28,clothing,56.22,5,,East,
TXN-1025,,2023-01-28,Clothing,330.19,5,0.0,North,
TXN-1026,,2023-02-25,clothing,103.88,4,,South,
TXN-1027,,2023-08-25,clothing,438.5,-1,,west ,Credit Card
TXN-1028,151,2023-02-17,clothing,91.49,3,,South,
TXN-1029,160,2023-07-14, Electronics ,492.8,2,,East,
TXN-1030,,2023-03-21,clothing,155.39,-1,0.0,East,Credit Card
TXN-1031,,2023-09-15,electronics,87.14,4,0.0,South,Credit Card
TXN-1032,709,2023-12-12,clothing,207.85,4,0.1,west ,Credit Card
TXN-1033,734,2023-08-03,Clothing,296.0,4,0.2,East,PayPal
TXN-1034,,2023-05-03,HOME ,203.94,5,0.2,West,Cash
TXN-1035,869,2023-01-05,Sports,314.37,4,0.0,North,PayPal
TXN-1036,,2023-03-09,HOME ,441.62,1,0.2,East,PayPal
TXN-1037,,2023-11-10,Clothing,269.18,5,0.2,North,PayPal
TXN-1038,370,2023-02-24,Clothing,281.08,2,0.2,west ,PayPal
TXN-1039,,2023-04-15,Clothing,320.78,2,,East,Credit Card
TXN-1040,,2023-05-22, Electronics ,11.74,10,0.1,East,PayPal
TXN-1041,,2023-10-10,Clothing,219.57,-1,0.0,North,PayPal
TXN-1042,658,2023-07-09,electronics,280.74,3,0.1,North,Cash
TXN-1043,473,2023-07-03,clothing,344.21,5,0.0,East,
TXN-1044,735,2023-05-02,clothing,488.34,10,0.1,West,Credit Card
TXN-1045,,2023-07-30,Clothing,433.39,10,0.1,East,PayPal
TXN-1046,906,2023-07-15, Electronics ,430.71,1,0.1,West,Cash
TXN-1047,412,2023-04-25, Electronics ,333.42,3,0.2,East,Credit Card
TXN-1048,,2023-06-29,Clothing,259.61,5,0.2,North,Credit Card
TXN-1049,,2023-04-02,electronics,481.64,2,0.0,North,
TXN-1050,,2023-08-12,electronics,492.28,-1,,west ,PayPal
TXN-1051,360,2023-12-29,Sports,10.83,10,0.1,East,
TXN-1052,,2023-11-16,HOME ,335.06,-1,0.2,west ,Cash
TXN-1053,,2023-06-17,Sports,351.63,4,0.1,South,
TXN-1054,,2023-12-13,Clothing,452.37,4,0.2,West,Credit Card
TXN-1055,,2023-04-18,Sports,395.02,4,0.2,West,
TXN-1056,552,2023-09-19,Sports,398.93,10,0.1,North,Cash
TXN-1057,,2023-02-17,clothing,339.67,1,0.1,South,Credit Card
TXN-1058,147,2023-09-01,electronics,426.37,-1,,West,PayPal
TXN-1059,,2023-09-11,Sports,129.55,5,0.0,North,
TXN-1060,324,2023-12-23,electronics,237.63,4,0.1,North,
TXN-1061,,2023-12-08,electronics,494.07,4,0.2,West,
TXN-1062,,2023-03-23,Clothing,432.13,3,0.2,South,Cash
TXN-1063,,2023-11-17,clothing,144.55,-1,0.2,South,Cash
TXN-1064,,2023-10-04, Electronics ,77.8,1,,South,PayPal
TXN-1065,,2023-07-28,HOME ,275.88,3,0.0,South,
TXN-1066,498,2023-10-22,Sports,243.72,2,0.2,West,
TXN-1067,651,2023-09-07,clothing,143.74,3,0.0,West,Cash
TXN-1068,,2023-03-26,Sports,460.58,4,0.0,West,Credit Card
TXN-1069,,2023-03-11,Sports,99.05,2,,East,PayPal
TXN-1070,,2023-06-22,Sports,146.35,10,,East,Credit Card
TXN-1071,581,2023-10-04, Electronics ,499.95,2,0.1,North,Credit Card
TXN-1072,872,2023-05-07,clothing,421.22,4,0.1,South,PayPal
TXN-1073,584,2023-10-16,clothing,237.87,2,0.2,South,Credit Card
TXN-1074,896,2023-06-09, Electronics ,293.56,2,,West,PayPal
TXN-1075,177,2023-02-22,Clothing,388.52,10,0.0,west ,Credit Card
TXN-1076,,2023-12-05,HOME ,43.79,5,0.2,North,
TXN-1077,,2023-02-24,Sports,480.79,5,,South,
TXN-1078,,2023-11-12,electronics,389.57,3,,west ,Cash
TXN-1079,430,2023-02-14,HOME ,442.0,1,,west ,
TXN-1080,444,2023-09-11,HOME ,99.1,1,0.2,East,Cash
TXN-1081,,2023-10-12, Electronics ,263.15,1,0.0,South,
TXN-1082,600,2023-12-20,Sports,326.49,3,,North,Credit Card
TXN-1083,401,2023-07-27,Clothing,129.22,5,0.2,West,Cash
TXN-1084,,2023-06-30,Clothing,232.34,2,0.2,South,Credit Card
TXN-1085,838,2023-06-11, Electronics ,374.01,10,0.1,South,PayPal
TXN-1086,,2023-05-22,Clothing,298.9,10,0.2,North,PayPal
TXN-1087,403,2023-07-04,clothing,158.11,5,0.1,East,Credit Card
TXN-1088,,2023-12-24,clothing,322.56,10,,North,Credit Card
TXN-1089,,2023-08-29,Sports,225.83,1,0.0,East,
TXN-1090,216,2023-07-25,Sports,46.3,5,0.0,South,PayPal
TXN-1091,,2023-02-13,clothing,68.04,10,,west ,PayPal
TXN-1092,,2023-08-19,Sports,155.7,4,,East,Credit Card
TXN-1093,724,2023-04-17,Clothing,113.4,5,0.0,South,PayPal
TXN-1094,277,2023-03-22, Electronics ,210.17,5,,East,Credit Card
TXN-1095,,2023-12-28,HOME ,354.46,3,0.0,South,Cash
TXN-1096,906,2023-08-06, Electronics ,276.84,5,0.1,East,PayPal
TXN-1097,173,2023-03-26,HOME ,301.57,10,0.2,West,Credit Card
